idTransacaoProduto,IdTransacao,IdProduto,QtdeProduto,vlProduto
d59d9859-8fb9-41cc-a296-be38c4dce8e4,0000520a-a4e5-4977-b360-17be62fa0f2b,5,1,1.00
519241fd-2676-49b2-8e74-0acc09a08f69,000060e8-aa76-4286-a8d7-f30e6fa47edd,5,1,1.00
