idCliente,flEmail,flTwitch,flYouTube,flBlueSky,flInstagram,qtdePontos,DtCriacao,DtAtualizacao
000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,1,0,0,0,0,2,2025-11-13 12:03:56.114,2025-11-13 12:03:56.114
000ff655-fa9f-4baa-a108-47f581ec52a1,1,1,0,0,0,25086,2024-02-01 00:00:00.000,2024-02-01 00:00:00.000
